id,question,answer,alt
1,市場経済が急速に世界を【覆】いつつある。,おお,
2,西洋哲学のイデア論はプラトンに【遡】る。,さかのぼ,
3,評論家の論じる共同幻想に【破綻】が生じるだろう。,はたん,
4,労働者が解雇の危機に【脅】かされている。,おびや,
5,マスメディアが枢要な役割を【担】ってきた。,にな,
6,昨年度に比べて【著】しく売り上げが伸びた。,いちじる,
7,我々も芭蕉が身を浸していた伝統の中にいる,ひた,
8,環境問題と【絡】めたテーマで講演を行う。,から,
9,満足の裏に不快がぼんやりと【潜】んでいた。,ひそ,
10,政治に【携】わる人すべてが能弁とは言えない。,たずさ,
11,事実に基づかない【恣意】的な解釈はよくない。,しい,
12,日々の【糧】にありつくので精一杯である。,かて,
13,興味の【赴】くままに本を読むのが至福の時だ。,おもむ,
14,遠くに海辺の小道を【辿】る人影が見える。,たど,
15,古典を原文で読まなくてはならないのは【厄介】だ。,やっかい,
16,情勢が変化して任務の【遂行】が困難になった。,すいこう,
17,パソコンを使用して指先から言葉を【紡】ぎ出す。,つむ,
18,何事も前例に【倣】うというやり方に慣れている。,なら,
19,人は誰でも社会に対する責任を【免】れられない。,まぬか,まぬが
20,【否応】なく権力闘争に巻き込まれてしまった。,いやおう,
21,勝負の行方は【混沌】として予測がつかない。,こんとん,
22,私は理想と現実との【乖離】に苦しんでいる。,かいり,
23,創業間もない若い会社で活力に【溢】れている。,あふ,
24,かつて日本は大陸文化の強い影響に【晒】された。,さら,
25,権力者の意向で史実が【歪曲】して伝えられる。,わいきょく,
26,報告文書と活動実態との間には【齟齬】がある。,そご,
27,メディアを通してイメージのみが【流布】する。,るふ,
28,窓外の景色を目を【凝】らしてじっと見つめる。,こ,
29,宗教性をできるだけ【払拭】した様式にする。,ふっしょく,
30,【精緻】を極めた研究が数多くなされている。,せいち,
31,【素人】だけでなく専門家にもよくわからない。,しろうと ,
32,あらぬ疑いをかけられるのは御免【被】りたい。,こうむ,
33,中国美術に並々ならぬ関心と【造詣】を持っている。,ぞうけい,
34,【暫】く打ち合わせをした後に作業を開始した。,しばら,
35,大事な点をわかりやすく【敷衍】して説明する。,ふえん,
36,彼女は【些末】なことは気にしない性質だ。,さまつ,
37,【拮抗】するチーム同士の戦いは見ていて面白い。,きっこう,
38,体験を通して困難に耐える心が【培】われた。,つちか,
